iter	Accuracy	MultiClass
0	0.5816619544	1.569339245
1	0.6085439124	1.533400639
2	0.6253092419	1.501706454
3	0.6383415798	1.470799679
4	0.645741297	1.442957308
5	0.643930023	1.415721466
6	0.6541791836	1.389497312
7	0.6604081993	1.364478206
8	0.66467132	1.341827991
9	0.671408376	1.31918271
10	0.6727116098	1.298876186
11	0.6743240855	1.279094106
12	0.6770851741	1.259821882
13	0.6768201096	1.242343695
14	0.6767538434	1.225491023
15	0.6795811981	1.208784502
16	0.681480827	1.193043804
17	0.6867600283	1.177698867
18	0.6876214879	1.16231311
19	0.6882620604	1.149094267
20	0.6883504153	1.13558677
21	0.6896757378	1.122568412
22	0.6896315603	1.110673374
23	0.6897420039	1.09875334
24	0.6907801732	1.087395699
25	0.6911115038	1.076519636
26	0.692613536	1.065415163
27	0.6931657537	1.054671524
28	0.695264181	1.04461045
29	0.6969871002	1.035000068
30	0.6977822937	1.024952736
31	0.6982461566	1.015820513
32	0.7017582612	1.007591299
33	0.7011839548	0.9994877152
34	0.7010735112	0.9919679946
35	0.7018687047	0.9841767764
36	0.7049390352	0.9760771562
37	0.7065294222	0.9681991633
38	0.7073687931	0.9607222016
39	0.7058446722	0.9539473434
40	0.7084953172	0.9464285857
41	0.7099089945	0.9395845559
42	0.7100194381	0.9331762963
43	0.7124271073	0.9264853912
44	0.7129351476	0.9204209189
45	0.7148347765	0.9145258044
46	0.7168669376	0.9083998584
47	0.7187665665	0.9027711382
48	0.7204232197	0.8973881898
49	0.7209975261	0.8915786302
50	0.7222786711	0.8859468272
51	0.7223891147	0.881124204
52	0.7225437356	0.8760480401
53	0.7236039936	0.8709884705
54	0.7234051953	0.8659747933
55	0.7240678565	0.8612436448
56	0.7252606468	0.856022509
57	0.7272928079	0.8515437877
58	0.7288611062	0.847109239
59	0.7300318077	0.8424915317
60	0.7306061142	0.8377517861
61	0.7312025093	0.8336278283
62	0.7314013077	0.8296875216
63	0.7315117512	0.8261260619
64	0.7310257996	0.8225780819
65	0.7334334688	0.8188443135
66	0.7341182188	0.8150899204
67	0.7350459445	0.811162255
68	0.7352226542	0.8080250268
69	0.7366805089	0.8045146518
70	0.7364154444	0.8011699307
71	0.7372989928	0.797580037
72	0.7379395653	0.7945356466
73	0.7384255169	0.7911094034
74	0.7389335572	0.7882979736
75	0.7394636862	0.7853862894
76	0.7401484361	0.7825536959
77	0.7405681216	0.7798382257
78	0.7405460329	0.7769919558
79	0.7422247747	0.7737242696
80	0.7426444602	0.770988493
81	0.7431745892	0.7680825522
82	0.7434838311	0.7653866867
83	0.7442127584	0.762734794
84	0.7446766213	0.7603137464
85	0.7456043471	0.7574654334
86	0.7459356777	0.7554148203
87	0.746973847	0.7527775577
88	0.7472168228	0.7503976644
89	0.7477911292	0.7477008886
90	0.7487630323	0.7454106632
91	0.7487630323	0.7431289207
92	0.7494477823	0.740954246
93	0.7500441774	0.738861965
94	0.7505522177	0.7370145102
95	0.751590387	0.7347207892
96	0.7517229192	0.7323996882
97	0.7517891854	0.7304930443
98	0.7520763386	0.7283235466
99	0.7522972257	0.7264744026
100	0.7524739353	0.7244413774
101	0.7523855805	0.722856721
102	0.7530040643	0.7209520186
103	0.7537329917	0.7189460659
104	0.7539980562	0.717090572
105	0.7544177417	0.7154312327
106	0.7544619191	0.7135774625
107	0.7548153384	0.7118368993
108	0.7554779996	0.7102513824
109	0.7562290157	0.7084791055
110	0.7562511044	0.7068576494
111	0.7569800318	0.7050400552
112	0.7574438947	0.703154835
113	0.7584599753	0.7012699363
114	0.7589017494	0.6995835017
115	0.75923308	0.6978148048
116	0.7592772575	0.696023478
117	0.7600061848	0.6946254561
118	0.7603154268	0.6933107219
119	0.7610001767	0.6919671575
120	0.7617732815	0.6902297902
121	0.7619941686	0.6886197359
122	0.7620825234	0.6871397947
123	0.7623034105	0.6857232716
124	0.7626568298	0.6846648964
125	0.7630102492	0.683379083
126	0.7634520233	0.6822343247
127	0.7636949991	0.6811097954
128	0.7644018378	0.6797828111
129	0.7656167167	0.6779728484
130	0.7657934264	0.6768414868
131	0.7658155151	0.6753803413
132	0.7666990634	0.6739534199
133	0.7676709666	0.6724016718
134	0.7681348295	0.6711048813
135	0.7682010956	0.6697222299
136	0.7677372327	0.6684356617
137	0.7692613536	0.6670865354
138	0.7686870472	0.6656389284
139	0.7699240148	0.6642689526
140	0.7707854745	0.6632765424
141	0.771271426	0.6622114189
142	0.7716248454	0.6611420643
143	0.7720666195	0.6596787457
144	0.7727955469	0.6584349885
145	0.7727955469	0.6572755322
146	0.7734361195	0.6561050778
147	0.773922071	0.6547690017
148	0.7740325146	0.6535448756
149	0.7747835307	0.6523797048
150	0.775512458	0.6511982549
151	0.7755566354	0.6500634746
152	0.7759321435	0.6488740856
153	0.7761751193	0.6479452678
154	0.776572716	0.646828631
155	0.7769924015	0.6455372103
156	0.7773679095	0.6442401334
157	0.7777434176	0.6432357325
158	0.7781189256	0.6424069956
159	0.7783398127	0.6415964868
160	0.7786711433	0.6405683882
161	0.7787153207	0.6397537116
162	0.7790687401	0.6384025222
163	0.7790245626	0.6374900318
164	0.779377982	0.6362738572
165	0.7798418448	0.6353847554
166	0.7799743771	0.6347703966
167	0.7801510868	0.6340723881
168	0.7806370383	0.6329018231
169	0.7805265948	0.6322705542
170	0.7807695706	0.6316905808
171	0.7807474819	0.6305605023
172	0.7814764093	0.6297036988
173	0.7816972963	0.6287510151
174	0.7818519173	0.6278699634
175	0.7819623608	0.6272730217
176	0.7822936915	0.6265835514
177	0.7823599576	0.6255392722
178	0.782404135	0.624655538
179	0.7827354656	0.6236882318
180	0.782934264	0.6230104399
181	0.7831109737	0.6222395141
182	0.7831551511	0.6214797133
183	0.7832435059	0.6208657891
184	0.7836852801	0.620103177
185	0.783619014	0.6196319293
186	0.7839282559	0.6187582669
187	0.784149143	0.6178483789
188	0.7847013607	0.6169905066
189	0.7847013607	0.6162532066
190	0.7849443365	0.6153436749
191	0.7850768687	0.6147040205
192	0.7849885139	0.6138545917
193	0.785430288	0.6129809559
194	0.7861813041	0.6122272005
195	0.786269659	0.6116292006
196	0.7864463686	0.6108281933
197	0.7864242799	0.6104294745
198	0.7866672557	0.6096273886
199	0.7868439654	0.6090286736
200	0.7867776992	0.6083021675
201	0.7868881428	0.6076228055
202	0.7869544089	0.6067395787
203	0.787175296	0.6062610109
204	0.7873078282	0.6056050475
205	0.7875728927	0.6049052616
206	0.7880367556	0.6040840064
207	0.7881030217	0.6035236694
208	0.7885227072	0.6025791549
209	0.7889203039	0.6016923049
210	0.7890086588	0.600898418
211	0.7890528362	0.6003190877
212	0.7892516346	0.5996617243
213	0.7890749249	0.5989474433
214	0.7894062555	0.5984213964
215	0.78967132	0.5975586545
216	0.7898701184	0.5967326212
217	0.7904444248	0.5959590066
218	0.7907978441	0.5950549098
219	0.7907978441	0.5943396953
220	0.7910849973	0.5936580963
221	0.7910629086	0.5929787449
222	0.7911512635	0.592408326
223	0.7913058844	0.5917478171
224	0.7913279731	0.5911247597
225	0.7917697473	0.590663689
226	0.7917034812	0.5901077595
227	0.7919022796	0.5894005733
228	0.792321965	0.5888538147
229	0.7926091182	0.5882407705
230	0.7926753843	0.5876778652
231	0.7931392472	0.5871217897
232	0.7929846263	0.5864409235
233	0.7933380456	0.5857073443
234	0.7937798198	0.5851153023
235	0.7938460859	0.5843600082
236	0.7941995052	0.584036663
237	0.7943099488	0.5834593529
238	0.7944203923	0.5828688185
239	0.7946854568	0.5821794309
240	0.7949284326	0.5815014681
241	0.7951051423	0.5812133164
242	0.795127231	0.5808013613
243	0.795348118	0.5803189163
244	0.7956131825	0.5797306741
245	0.7956352712	0.5790730993
246	0.7960549567	0.5783952195
247	0.7961212228	0.5780665547
248	0.796032868	0.5775710487
249	0.796562997	0.5769376548
250	0.7969164163	0.5764185769
251	0.7972035695	0.5759164076
252	0.797468634	0.5754201477
253	0.7976895211	0.5748654345
254	0.7980650292	0.5738524055
255	0.7980871179	0.5732949225
256	0.7982638275	0.5726864162
257	0.798683513	0.572100292
258	0.798683513	0.5717153967
259	0.7988823114	0.5712774274
260	0.7992578194	0.570885295
261	0.7994124404	0.5704654635
262	0.7994566178	0.5698251207
263	0.7994566178	0.5692780657
264	0.7994787065	0.5688093043
265	0.7997216823	0.568124937
266	0.7998763032	0.5675882231
267	0.8002297226	0.5671039868
268	0.8004285209	0.5664084944
269	0.8006273193	0.5659244149
270	0.8008923838	0.5653581356
271	0.8009365612	0.5647812397
272	0.8010249161	0.5643112935
273	0.8013120693	0.5637497714
274	0.8010690935	0.5634058307
275	0.8015992225	0.5627174589
276	0.801864287	0.5622785546
277	0.8021956176	0.5617389155
278	0.8020409966	0.5613964516
279	0.8023502386	0.5608811645
280	0.8023723273	0.5603645595
281	0.8025490369	0.5598769764
282	0.802769924	0.5595778849
283	0.8026594805	0.5591010182
284	0.8028582788	0.5587636989
285	0.8031675208	0.5581917439
286	0.8032779643	0.557705714
287	0.8034988514	0.5571988004
288	0.8031896095	0.5566829272
289	0.8033442304	0.5562496755
290	0.8035651175	0.5557638002
291	0.8036313836	0.5553271575
292	0.8038080933	0.5547710473
293	0.8038743594	0.554339174
294	0.8039406256	0.553730346
