barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan,urun_bilgisi,birim,kategori_listesi,etiketler_listesi
6111266962187,450.0,Jaouda,['Milk'],[],2,B,3.0,D,,,no,low,low,low,low,188.0,45.0,1.5,1.0,4.9,0.0,,3.1,0.225,0.09,,,-3,4,7,3.0,0,0.0,1,7.0,0,0,Lait,ml,"['Dairies', 'Meals', 'Milks (liquid and powder)', 'Milks', 'Semi-skimmed milks']",[]
6111242101180,1.0,Jaouda,['Milk'],['Nuts'],1,B,1.0,D,True,True,no,moderate,low,low,low,242.0,58.0,3.0,0.0,4.8,0.0,,3.0,0.0,0.0,0.0,,-1,5,6,5.0,0,0.0,0,6.0,0,0,uht jaouda 1L,l,"['Dairies', 'Milks (liquid and powder)', 'Milks', 'Homogenized milks', 'Pasteurised products', 'UHT Milks', 'Whole milks', 'Cow milks', 'Whole milk UHT']",['No gluten']
6111032009665,470.0,Salim,['Milk'],[],1,B,1.0,D,True,True,no,low,low,low,low,188.0,45.0,1.5,1.0,4.8,0.0,,3.0,0.0,0.0,,,-3,3,6,3.0,0,0.0,0,6.0,0,0,Salim,ml,"['Dairies', 'Milks (liquid and powder)', 'Milks', 'Semi-skimmed milks', 'Fresh milks']",['No gluten']
6111242100206,110.0,Jaouda,['Milk'],['Milk'],4,B,3.0,B,True,True,no,moderate,moderate,low,low,330.0,78.0,3.3,2.4,8.0,0.0,0.0,4.2,0.0,0.0,,0.0,1,2,1,0.0,0,2.0,0,1.0,0,0,Yaourt nature,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Yogurts', 'Plain fermented dairy desserts', 'Plain yogurts']",[]
6111252421582,1.5,pepsi,[],[],1,B,1.0,,True,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0,0,0,0.0,0,0.0,0,0.0,0,0,اكوافينا,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Table waters']",[]
3168930010265,450.0,Quaker,"['Gluten', 'Nuts', 'fr:avoine']","['Milk', 'Sesame seeds', 'Soybeans']",16,B,4.0,B,True,,no,moderate,moderate,moderate,low,1913.0,462.0,19.0,2.0,57.0,12.0,10.0,8.5,0.0,0.0,,,1,9,8,5.0,3,1.0,0,3.0,5,0,Cruesli - Mixed Nuts,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Mueslis', 'Cereals with nuts', 'Crunchy cereal clusters', 'Cereal clusters with nuts']","['No artificial flavors', 'No preservatives', 'Green Dot', 'No colorings', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
3760020507350,350.0,Jardin Bio étic,['Peanuts'],"['Nuts', 'Sesame seeds']",1,B,1.0,B,True,True,yes,high,high,moderate,low,2591.0,625.0,50.0,9.7,12.0,0.0,5.5,29.0,0.0,0.0,,,-5,5,10,,1,,0,7.0,3,0,Pure Peanut butter,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Breakfasts', 'Spreads', 'Nuts and their products', 'Plant-based spreads', 'Sweet spreads', 'Oilseed purees', 'Legume butters', 'fr:Pâtes à tartiner', 'Nut butters', 'Peanut butters']","['Low or no salt', 'Organic', 'Vegetarian', 'Certified by Ecocert', 'EU Organic', 'Non-EU Agriculture', 'Vegan', '1% for the planet', 'European Vegetarian Union', 'European Vegetarian Union Vegan', 'FR-BIO-01', 'Green Dot', 'NL-BIO-01', 'No added salt', 'No added sugar', 'No palm oil', 'Nutriscore', 'Nutriscore Grade B', 'The Vegan Society', 'AB Agriculture Biologique', 'Triman']"
3228857002344,600.0,Harrys,['Gluten'],"['Eggs', 'Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",13,B,4.0,A,True,True,maybe,moderate,low,low,moderate,1178.0,280.0,6.8,0.5,43.0,3.6,8.1,7.7,1.1,0.44,,0.919628906249997,1,9,8,3.0,1,0.0,5,3.0,5,0,Pain de mie american sandwich complet sans sucres ajoutés 600g,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Sliced breads', 'Wholemeal breads', 'Wholemeal sliced breads']","['Vegetarian', 'Source of fibre', 'High fibres', 'No added sugar', 'Nutriscore', 'Nutriscore Grade A']"
5411188112709,1.0,Alpro,['Nuts'],['de:schalenfrüchte-keine-erdnüsse'],15,B,4.0,B,True,True,yes,low,low,low,moderate,61.0,15.0,1.1,0.1,0.0,0.0,0.3,0.5,0.15,0.06,,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0,Nutty Almond Drink,l,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Dairy substitutes', 'Milk substitutes', 'Nuts and their products', 'Plant-based beverages', 'Plant-based milk alternatives', 'Nut-based drinks', 'Almond-based drinks']","['Low or no fat', 'Low or no sugar', 'Vegetarian', 'Low fat', 'No gluten', 'No milk', 'No preservatives', 'Vegan', 'Calcium source', 'Certified B Corporation', 'European Vegetarian Union', 'European Vegetarian Union Vegan', 'FSC', 'FSC Mix', 'Low saturated fat', 'No colorings', 'No dyes or preservatives', 'No sugar', 'Nutriscore', 'Nutriscore Grade B', 'Plant based', 'The Vegan Society', 'Without sweeteners', 'Triman']"
3029330022428,550.0,Jacquet,['Gluten'],"['Eggs', 'Milk', 'Sesame seeds']",16,B,4.0,A,False,True,yes,low,low,low,moderate,1020.0,246.0,2.8,0.3,42.0,0.0,6.6,8.8,1.2,0.48,,0.0,2,9,7,3.0,1,0.0,5,3.0,4,0,Pain de mie complet,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Sliced breads', 'Wholemeal breads', 'Wholemeal sliced breads']","['Low or no sugar', 'Vegetarian', 'Vegan', 'No added sugar', 'No additives', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'fr:Blé français', 'fr:Farine de blé français', 'fr:Origine France', 'Triman', 'Sachet-recyclable']"
6111242100817,500.0,Jaouda,[],[],13,B,,D,False,True,yes,low,low,low,low,189.0,45.0,1.5,1.0,4.9,0.0,,3.1,0.0,0.0,,,-4,3,7,3.0,0,0.0,0,7.0,0,0,Le Lait demi écrémé,ml,"['Dairies', 'Milks (liquid and powder)', 'Milks', 'Homogenized milks', 'Pasteurised products', 'Semi-skimmed milks', 'UHT Milks', 'Cow milks']","['No gluten', 'Organic', 'Catalan Council of Organic Production']"
