enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,protein_g,tuz_g,lif_g,sodyum_g,nova_grubu,nutriscore_notu,seker_orani,protein_orani,doymus_yag_orani
80.0,12.0,0.0,6.1,0.0,7.3,0.0,0.0,0.0,3.0,A,0.0,0.09012345679012346,0.0
0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0,4.0,A,0.2692307692307692,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.15,1.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0,0.0011,1.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.0,0.0002032,4.0,A,0.0,0.0,0.0
101.0,6.0,0.0,4.2,0.0,7.6,0.0,0.0,0.0,1.0,A,0.0,0.07450980392156863,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0065,2.0,0.0026,4.0,A,0.0,0.0,0.0
257.0,18.0,0.0,3.1,0.0,10.0,0.0,0.0,0.0,3.0,A,0.0,0.03875968992248062,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,A,0.0,0.0,0.0
57.0,0.105,0.065,3.6,0.0,9.5,0.1375,0.0,0.055,3.0,A,0.0,0.16379310344827586,0.05882352941176471
294.0,9.6,1.0,37.0,0.0,12.0,0.96,7.2,0.384,4.0,A,0.0,0.04067796610169491,0.09433962264150944
388.0,2.8,0.6,75.0,2.6,13.4,0.68,4.4,0.272,3.0,A,0.034210526315789476,0.03444730077120823,0.15789473684210525
400.0,6.6,0.9,68.0,1.1,13.0,1.1,8.3,0.44,4.0,A,0.01594202898550725,0.032418952618453865,0.11842105263157895
40.0,2.2,0.4,3.5,3.3,0.9,0.62,1.2,0.248,3.0,A,0.7333333333333333,0.021951219512195124,0.125
0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.0,0.052,4.0,A,0.0,0.0,0.0
336.0,1.5,0.4,62.0,0.0,9.0,1.0,19.0,0.4,3.0,A,0.0,0.026706231454005934,0.16
333.0,5.0,1.0,47.0,2.0,12.0,1.2,26.0,0.48,3.0,A,0.041666666666666664,0.03592814371257485,0.16666666666666666
610.0,48.0,5.8,13.0,6.2,28.0,0.05,7.0,0.02,1.0,A,0.4428571428571429,0.04582651391162029,0.1183673469387755
109.0,3.0,0.4,16.9,2.0,3.6,0.0,2.0,0.0,4.0,A,0.111731843575419,0.03272727272727273,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,0.048,4.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.0,0.001904,1.0,A,0.0,0.0,0.0
622.0,50.0,6.8,13.0,5.8,26.0,0.03,8.3,0.012,1.0,A,0.41428571428571426,0.04173354735152488,0.13333333333333333
362.0,7.1,1.3,58.0,0.0,11.0,0.02,11.0,0.008,1.0,A,0.0,0.030303030303030304,0.16049382716049385
234.0,23.5,0.0,4.9,0.0,4.9,0.0,0.0,0.0,3.0,A,0.0,0.020851063829787235,0.0
352.0,5.8,0.9,59.0,14.0,11.0,0.03,10.0,0.012,3.0,A,0.23333333333333334,0.031161473087818695,0.1323529411764706
620.0,53.3,4.3,4.8,4.8,24.5,0.01,12.4,1e-05,1.0,A,0.8275862068965517,0.039452495974235106,0.07918968692449356
362.0,7.2,2.0,60.0,17.0,10.0,0.03,8.8,0.012,1.0,A,0.2786885245901639,0.027548209366391185,0.24390243902439027
358.0,6.0,0.857142857142857,60.0,13.0,12.0,0.04,10.0,0.016,3.0,A,0.21311475409836064,0.033426183844011144,0.12244897959183672
0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0096,1.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3e-06,2.0,1e-06,1.0,A,0.0,0.0,0.0
704.0,69.1,6.8,3.7,3.0,15.5,0.02,6.8,0.008,1.0,A,0.6382978723404255,0.02198581560283688,0.09700427960057062
599.0,58.0,6.4,6.4,4.2,20.4,0.01,8.5,0.0,1.0,A,0.5675675675675675,0.033999999999999996,0.10847457627118645
0.0,0.0,0.0,0.0,0.0,0.0,0.078375,0.0,0.03135,4.0,A,0.0,0.0,0.0
194.0,2.13,0.533,69.1,0.0,12.0,0.26,10.1,0.104,3.0,A,0.0,0.06153846153846154,0.17028753993610224
338.0,1.5,0.3,62.0,2.0,9.0,1.0,20.0,0.4,3.0,A,0.031746031746031744,0.02654867256637168,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.0005,4.0,A,0.0,0.0,0.0
683.0,55.1,12.0,12.0,3.9,30.4,0.03,9.2,0.012,1.0,A,0.3,0.04444444444444444,0.21390374331550802
293.0,8.0,0.8,40.0,3.0,11.0,1.0,8.7,0.4,4.0,A,0.07317073170731707,0.03741496598639456,0.08888888888888889
387.0,8.8,3.3,60.0,8.2,12.0,0.1,10.0,0.04,4.0,A,0.13442622950819672,0.030927835051546393,0.33673469387755095
0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0012,1.0,A,0.0,0.0,0.0
322.0,10.0,0.9,46.0,9.3,8.5,1.0,7.2,0.4,4.0,A,0.19787234042553192,0.02631578947368421,0.08181818181818182
226.0,1.9,0.9,39.0,2.8,10.0,0.98,6.2,0.392,4.0,A,0.06999999999999999,0.04405286343612335,0.3103448275862069
252.0,5.1,0.5,38.0,1.9,10.0,0.99,6.9,0.396,4.0,A,0.04871794871794872,0.039525691699604744,0.0819672131147541
375.0,8.0,1.5,60.0,1.1,11.0,0.01,9.0,0.004,1.0,A,0.018032786885245903,0.02925531914893617,0.16666666666666666
362.0,2.3,0.7,72.0,0.0,11.0,0.57,4.5,0.228,3.0,A,0.0,0.030303030303030304,0.21212121212121213
54.0,2.8,1.0,2.4,0.0,3.9,0.22,0.9,0.088,4.0,A,0.0,0.07090909090909091,0.2631578947368421
372.0,7.0,1.3,58.7,0.0,13.5,0.03,10.0,0.012,1.0,A,0.0,0.036193029490616625,0.1625
48.0,1.5,0.2,7.5,1.8,0.8,0.02,0.6,0.008,4.0,A,0.21176470588235294,0.0163265306122449,0.08
278.0,6.5,0.6,42.0,0.0,9.0,1.0,7.6,0.4,4.0,A,0.0,0.03225806451612903,0.08
180.0,6.4,1.5,0.6,0.16,30.1,0.5,2.0,0.2,3.0,A,0.09999999999999999,0.16629834254143647,0.2027027027027027
61.0,0.6,0.2,13.0,11.0,0.5,0.01,1.2,0.004,4.0,A,0.7857142857142857,0.008064516129032258,0.125
196.0,2.9,0.4,32.0,2.0,5.0,1.1,11.0,0.44,3.0,A,0.06060606060606061,0.025380710659898477,0.10256410256410257
103.0,1.9,0.5,0.5,0.5,21.0,1.4,0.5,0.56,4.0,A,0.3333333333333333,0.20192307692307693,0.1724137931034483
274.0,9.1,1.0,33.0,2.2,12.0,0.93,6.0,0.372,4.0,A,0.06470588235294118,0.04363636363636364,0.09900990099009901
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,A,0.0,0.0,0.0
64.0,2.6,0.3,7.6,0.0,1.6,0.9,1.9,0.36,4.0,A,0.0,0.024615384615384615,0.08333333333333333
384.0,6.2,0.7,62.0,3.4,14.0,1.1,12.0,0.44,4.0,A,0.053968253968253964,0.03636363636363636,0.09722222222222221
385.0,2.85714285714286,0.0,75.7142857142857,2.85714285714286,12.8571428571429,0.671428571428571,4.28571428571429,0.268571428571429,3.0,A,0.03724394785847304,0.033308660251665546,0.0
73.0,4.5,0.3,5.5,4.5,1.0,0.71,3.0,0.284,4.0,A,0.6923076923076923,0.013513513513513514,0.05454545454545454
0.0,0.0,0.0,0.0,0.0,0.0,0.00075,2.0,0.0003,1.0,A,0.0,0.0,0.0
381.0,4.0,0.5,74.0,0.0,9.2,0.3,6.2,0.12,3.0,A,0.0,0.024083769633507852,0.1
175.0,1.1,0.7,0.97,0.97,33.0,0.5,0.0,0.2,3.0,A,0.49238578680203043,0.1875,0.3333333333333333
57.0,0.5,0.1,3.6,0.0,9.5,0.15,0.5,0.06,1.0,A,0.0,0.16379310344827586,0.06666666666666667
241.0,3.7,0.4,36.0,3.0,12.0,1.1,7.8,0.44,4.0,A,0.08108108108108109,0.049586776859504134,0.0851063829787234
0.0,0.0,0.0,0.0,0.0,0.0,0.00165,0.0,0.00066,1.0,A,0.0,0.0,0.0
229.0,17.0,2.0,3.8,0.5,13.0,0.64,6.0,0.256,4.0,A,0.10416666666666667,0.05652173913043478,0.1111111111111111
62.0,2.1,0.4,6.0,5.4,3.7,0.1975,1.0,0.079,4.0,A,0.7714285714285715,0.05873015873015873,0.12903225806451613
367.0,7.0,1.25,59.0,0.75,14.0,0.02,10.0,0.008,4.0,A,0.0125,0.03804347826086957,0.15625
220.0,16.0,1.3,4.8,0.6,12.0,0.74,6.1,0.296,4.0,A,0.10344827586206896,0.05429864253393665,0.07647058823529412
359.0,2.0,0.5,71.0,3.5,13.0,0.01,3.0,0.004,1.0,A,0.04861111111111111,0.03611111111111111,0.16666666666666666
235.0,2.68984067866749,0.413821642871922,39.9337885371405,0.0,10.552451893234,0.812124974136147,4.7589488930271,0.324849989654459,3.0,A,0.0,0.044713779208618645,0.11215162900241134
54.0,2.8,0.4,2.3,0.0,3.9,0.25,1.1,0.1,4.0,A,0.0,0.07090909090909091,0.10526315789473685
83.0,5.2,0.6,6.7,5.6,1.2,0.76,2.2,0.304,3.0,A,0.7272727272727272,0.014285714285714285,0.0967741935483871
213.0,16.0,1.3,3.2,0.25,12.0,0.7475,5.8,0.299,4.0,A,0.05952380952380952,0.056074766355140186,0.07647058823529412
180.0,8.5,1.5,0.6,0.6,30.1,0.5,2.0,0.2,3.0,A,0.37499999999999994,0.16629834254143647,0.15789473684210525
606.0,46.6666666666667,6.66666666666667,12.0,5.33333333333333,30.0,0.0,8.0,0.0,1.0,A,0.41025641025641,0.04942339373970346,0.13986013986013981
375.0,8.0,1.5,60.0,1.1,11.0,0.01,9.0,0.004,4.0,A,0.018032786885245903,0.02925531914893617,0.16666666666666666
358.0,6.0,2.5,60.0,10.0,11.0,0.02,10.0,0.008,3.0,A,0.16393442622950818,0.03064066852367688,0.35714285714285715
363.0,8.0,1.0,69.1666666666667,0.0,10.8333333333333,0.0833333333333333,11.0,0.0333333333333333,1.0,A,0.0,0.02976190476190467,0.1111111111111111
368.0,1.5,0.6,74.7,0.0,9.8,0.56,8.5,0.224,4.0,A,0.0,0.026558265582655827,0.24
628.0,48.0,6.3,15.0,6.1,27.0,0.01,9.6,0.004,1.0,A,0.38125,0.04292527821939587,0.12857142857142856
91.0,0.09,0.0,18.35,0.0,4.13,0.0,0.0,0.0,4.0,A,0.0,0.04489130434782609,0.0
347.0,2.5,0.5,64.0,3.5,13.0,0.01,8.0,0.004,1.0,A,0.05384615384615385,0.03735632183908046,0.14285714285714285
48.0,0.2,0.0,8.23,0.0,3.4,0.0,2.0,0.0,4.0,A,0.0,0.06938775510204082,0.0
31.0,0.108108108108108,0.0,6.40540540540541,2.43243243243243,1.24324324324324,0.27027027027027,0.810810810810811,0.108108108108108,3.0,A,0.32846715328467097,0.03885135135135125,0.0
382.0,12.0,1.9,41.0,11.0,21.0,0.03,13.0,0.012,3.0,A,0.2619047619047619,0.05483028720626632,0.14615384615384613
46.0,1.0,0.6,5.3,5.3,4.0,0.15,0.0,0.06,1.0,A,0.8412698412698413,0.0851063829787234,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.15,4.0,A,0.0,0.0,0.0
227.0,14.4,1.0,5.2,3.3,16.2,1.0,5.9,0.4,3.0,A,0.532258064516129,0.07105263157894737,0.06493506493506493
303.0,9.0,1.0,41.0,3.5,11.0,0.9,7.0,0.36,4.0,A,0.08333333333333333,0.03618421052631579,0.1
158.0,7.8,2.6,0.0,0.0,22.0,1.0,0.0,0.4,3.0,A,0.0,0.13836477987421383,0.2954545454545454
401.0,12.0,1.4,52.0,3.2,8.8,0.08,23.0,0.032,4.0,A,0.06037735849056604,0.021890547263681594,0.10769230769230768
0.0,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.009090909090909,3.0,A,0.0,0.0,0.0
60.0,3.1,0.3,5.5,5.0,1.4,1.0,2.2,0.4,4.0,A,0.7692307692307693,0.022950819672131147,0.07317073170731708
390.0,3.7,0.5,70.0,2.2,15.0,0.02,7.0,0.008,4.0,A,0.03098591549295775,0.03836317135549872,0.10638297872340426
451.0,14.8,2.4,58.9,2.5,12.6,0.03,16.1,0.012,4.0,A,0.041736227045075125,0.027876106194690265,0.15189873417721517
360.0,5.5,1.0,61.8,10.2,11.2,0.03,9.4,0.012,3.0,A,0.1624203821656051,0.031024930747922435,0.15384615384615385
452.0,19.0,1.7,54.0,1.7,13.0,1.0,7.7,0.4,4.0,A,0.030909090909090907,0.02869757174392936,0.08499999999999999
63.0,2.5,0.4,7.3,6.0,1.7,0.75,2.1,0.3,3.0,A,0.7228915662650601,0.0265625,0.1142857142857143
386.0,1.8,0.3,79.5,8.8,8.9,0.5125,8.1,0.205,3.0,A,0.10931677018633541,0.022997416020671835,0.10714285714285715
372.0,7.0,1.3,59.0,0.0,14.0,0.0,10.0,0.0,1.0,A,0.0,0.03753351206434316,0.1625
10.0,0.6,0.3,1.0,0.4,0.1,0.005,0.1,0.002,4.0,A,0.2,0.009090909090909092,0.18749999999999997
157.0,9.3,1.5,2.0,0.5,16.0,0.01,0.7,0.004,3.0,A,0.16666666666666666,0.10126582278481013,0.14563106796116504
57.0,0.2,0.1,3.9,3.9,10.0,0.1,0.0,0.04,3.0,A,0.7959183673469387,0.1724137931034483,0.08333333333333334
374.0,9.6,1.7,35.0,14.0,30.0,0.02,14.0,0.008,1.0,A,0.3888888888888889,0.08,0.16037735849056603
371.0,7.0,1.3,60.0,0.9,12.0,0.01,10.0,0.004,1.0,A,0.014754098360655738,0.03225806451612903,0.1625
368.0,4.0,1.0,68.0,3.0,14.0,0.08,3.0,0.032,1.0,A,0.043478260869565216,0.037940379403794036,0.2
446.0,17.0,3.2,59.0,3.0,9.9,0.01,11.0,0.004,4.0,A,0.05,0.02214765100671141,0.17777777777777778
250.0,4.66666666666667,0.666666666666667,36.6666666666667,0.0,11.3333333333333,0.916666666666667,8.33333333333333,0.366666666666667,4.0,A,0.0,0.04515272244355897,0.1176470588235294
391.0,7.6,1.1,60.1,0.0,13.0,1.13,24.7,0.452,3.0,A,0.0,0.03316326530612245,0.12790697674418605
55.0,0.2,0.0,12.0,12.0,0.3,0.0,1.9,0.0,1.0,A,0.9230769230769231,0.005357142857142857,0.0
0.0,0.0,0.0,0.029,0.03,0.0,0.013,0.0,0.15,4.0,A,0.02915451895043732,0.0,0.0
139.0,7.7,1.4,1.0,0.5,15.0,0.68,2.7,0.272,4.0,A,0.25,0.10714285714285714,0.16091954022988506
